id_colonia,colonia,id_delegacion,codigo_postal,id_entidad
1902,santa cecilia,11,13010,9
1904,santiago zapotitlan,11,13300,9
1905,santiago,11,13300,9
1908,teozoma,11,13120,9
1909,tierra blanca,11,13540,9
1910,tempiluli,11,13363,9
1911,tierra blanca,11,13540,9
1912,tlahuac 2,11,13229,9
1914,tlahuac centro,11,13000,9
1915,tierra y libertad,11,13080,9
1916,tlalnepantla,11,13410,9
1917,villa centroamericana y del caribe,11,13278,9
1918,villa tlatempa,11,13559,9
1921,zompantle,11,13450,9
1922,zacatenco,11,13440,9
1923,zacatenco,11,13440,9
1929,amsa,12,14380,9
1925,2 de octubre,12,14739,9
1926,3 fuentes,12,14309,9
1927,actopa,12,14456,9
1928,ailes 2,12,14266,9
1932,arenal de guadalupe,12,14389,9
1933,belvedere de eslava,12,14720,9
1934,belisario dominguez,12,14310,9
1935,belisario dominguez seccion xvi,12,14080,9
1941,colinas del bosque,12,14608,9
1942,colinas del ajusco,12,14208,9
1943,club de golf mexico,12,14620,9
1944,coapa,12,14337,9
1945,comuneros de santa ursula,12,14049,9
1947,cuevitas de curamaguey,12,14267,9
1951,cuemanco,12,14336,9
1953,chimali residencial,12,14370,9
1954,cuemanco infonavit,12,14336,9
1955,chomulco,12,14829,9
1957,cuitlahuac,12,14039,9
1958,chimalcoyotl,12,14630,9
1959,chichicaspatl,12,14108,9
1962,diamante,12,14427,9
1963,delegacion politica tlalpan,12,14009,9
1966,el bosque,12,14266,9
1967,el cantil,12,14477,9
1968,el charco,12,14780,9
1969,el convento,12,14438,9
1970,el divisadero,12,14406,9
1971,el maninal,12,14713,9
1973,el mirador 2a seccion,12,14449,9
1974,el pedregal,12,14100,9
1977,el truenito,12,14430,9
1979,exejido de huipulco,12,14380,9
1980,estrella mora,12,14550,9
1981,exejido de tepepan,12,14380,9
1982,faroles del pedregal,12,14018,9
1983,exhacienda san juan de dios,12,14387,9
1984,fuentes de tepepan,12,14643,9
1986,fuerza armada de mexico,12,14338,9
1987,fuentes brotantes fovissste,12,14410,9
1988,floresta coyoacan,12,14310,9
1989,fuentes de tepepan,12,14648,9
1990,fuentes brotantes parque nacional,12,14410,9
1991,gabriel ramos millan,12,14324,9
1992,granjas coapa,12,14330,9
1993,guadalupe,12,14388,9
1994,hacienda de san juan,12,14377,9
1996,huepanco,12,14620,9
2008,jardines villa coapa,12,14356,9
2009,jardines del ajusco,12,14200,9
2011,jose lopez portillo,12,14230,9
2019,la joya,12,14090,9
2022,la fama,12,14269,9
2038,lomas de padierna,12,14240,9
2040,lomas hidalgo,12,14240,9
2045,los volcanes,12,14440,9
2048,magdalena petlacalco,12,14480,9
2056,misiones tlalpan,12,14376,9
2059,mirador del valle,12,14658,9
2068,niño jesus,12,14080,9
2070,parres el guarda,12,14900,9
2071,pedregal del lago,12,14110,9
2075,paraje 38,12,14275,9
2081,pedregal de las aguilas,12,14439,9
2095,popular santa teresa,12,14160,9
2101,pueblo quieto,12,14040,9
2108,real del sur,12,14308,9
2113,residencial villa coapa,12,14390,9
1997,guadalupita,12,14388,9
2000,hueso periferico,12,14338,9
2001,hacienda de san juan de tlalpan 2a seccion,12,14370,9
2002,heroes de padierna,12,14200,9
2004,isidro fabela seccion cantil,12,14039,9
2006,instituto mexicano de la television,12,14141,9
2007,insurgentes cuicuilco,12,14018,9
2010,jardines en la montaña,12,14210,9
2012,jardines de xitle,12,14450,9
2013,jardines de tlalpan,12,14620,9
2014,juventud unida,12,14647,9
2017,la chinita,12,14540,9
2018,la cuevita,12,14400,9
2021,la lonja,12,14268,9
2024,la mesa los hornos,12,14420,9
2025,la palma,12,14476,9
2027,la quinta,12,14520,9
2028,la providencia,12,14839,9
2029,la tortuga xolalpa,12,14649,9
2032,las tortolas,12,14609,9
2033,las margaritas,12,14545,9
2034,lomas de tepemecatl,12,14735,9
2035,lomas de belvedere,12,14249,9
2036,lomas de cuilotepec,12,14730,9
2037,lomas de padierna sur,12,14740,9
2041,lomas del pedregal,12,14220,9
2043,los framboyanes,12,14150,9
2044,los hornos,12,14420,9
2046,loteria nacional,12,14328,9
2047,luis donaldo colosio,12,14038,9
2049,magisterial,12,14360,9
2050,mail boxes aquiles serdan alvarez,12,14306,9
2051,maria esther zuno de echeverria,12,14659,9
2053,miguel hidalgo,12,14250,9
2054,miguel hidalgo,12,14260,9
2055,mirador 2,12,14748,9
2058,miguel hidalgo 2a seccion,12,14250,9
2061,miguel hidalgo 4a seccion,12,14250,9
2062,mirador 1,12,14748,9
2063,movimiento organizado,12,14647,9
2064,nueva rio blanco,12,14380,9
2065,narciso mendoza villa coapa,12,14390,9
2067,nueva oriental coapa,12,14300,9
2069,oriente,12,14404,9
2073,paraje tetenco,12,14656,9
2074,paraje la joyita,12,14405,9
2076,pedregal santa ursula xitla,12,14438,9
2077,pedregal de san nicolas 4a seccion,12,14100,9
2078,pedregal de san nicolas 2a seccion,12,14100,9
2079,pemex,12,14130,9
2082,peña pobre,12,14060,9
2083,pedregal de san nicolas,12,14109,9
2084,pedregal de san nicolas 1a seccion,12,14100,9
2085,parques del pedregal,12,14010,9
2086,plan de ayala 1a seccion,12,14470,9
2087,plan de ayala 2a seccion,12,14470,9
2088,pedregal chichicaspatl,12,14108,9
2089,pedregal de san nicolas 3a seccion,12,14100,9
2090,pedregal de topilejo,12,14560,9
2091,periferico fovissste,12,14335,9
2092,plaza del oro,12,14309,9
2093,potrero acoxpa,12,14359,9
2094,polotlan,12,14099,9
2097,prado coapa 2a seccion,12,14357,9
2098,plaza del bosque,12,14264,9
2099,prado coapa 1a seccion,12,14350,9
2100,prolongacion los angeles,12,14543,9
2103,residencial miramontes,12,14300,9
2104,rancho los colorines,12,14386,9
2105,rancho canela infonavit,12,14097,9
2109,rincon de san juan,12,14378,9
2110,residencial pedregal picacho,12,14129,9
2111,rinconada coapa 2a seccion,12,14325,9
2112,residencial acoxpa,12,14300,9
2114,rinconada coapa 1a seccion,12,14330,9
2115,reino aventura parque,12,14219,9
2116,rincon del pedregal,12,14120,9
2117,residencial villa prado coapa,12,14358,9
2118,rancho viejo,12,14750,9
2121,rinconada santa teresa,12,14010,9
2122,san andres totoltepec,12,14400,9
2123,san bartolo el chico,12,14380,9
2126,san jorge,12,14790,9
2133,san miguel toxiac,12,14543,9
2137,san nicolas totolapan,12,14100,9
2127,san miguel ajusco,12,14700,9
2128,san miguel xicalco,12,14490,9
2129,san lorenzo huipulco,12,14370,9
2132,san miguel topilejo,12,14500,9
2134,san pedro martir,12,14640,9
2135,san pedro martir fovissste,12,14639,9
2136,san pedro martir,12,14650,9
2142,santo tomas ajusco,12,14710,9
2145,solidaridad,12,14273,9
2150,tlalmille,12,14657,9
2159,tecorral,12,14409,9
2161,tlalpuente,12,14460,9
2163,tlalcoligia,12,14430,9
2165,toriello guerra,12,14050,9
2168,vergel de coyoacan,12,14340,9
2170,vergel del sur,12,14340,9
2175,villa lazaro cardenas,12,14370,9
2178,villa del puente,12,14335,9
2181,villa cuemanco,12,14360,9
2184,villa royale,12,14399,9
2199,24 de abril,17,15980,9
2229,federal,17,15700,9
2231,felipe angeles,17,15310,9
2138,san pedro apostol,12,14070,9
2139,santa ursula xitla,12,14420,9
2141,sauzales cebadales,12,14334,9
2143,santisima trinidad,12,14429,9
2146,sector 17,12,14100,9
2148,tecuentitla,12,14830,9
2151,tlalpan centro,12,14000,9
2152,tenorios 1,12,14326,9
2153,tepeximilpa,12,14427,9
2154,tenorios infonavit,12,14326,9
2155,tenorios fovissste,12,14329,9
2156,tepeximilpa,12,14427,9
2157,tepetongo,12,14420,9
2160,texcaltenco,12,14426,9
2164,tlaxcaltengo la mesa,12,14426,9
2166,valle escondido,12,14600,9
2167,valle verde o lomas verdes,12,14655,9
2169,verano,12,14276,9
2171,vergel coapa,12,14320,9
2172,valle de tepepan,12,14646,9
2173,urbano coapa,12,14337,9
2174,villa del sur,12,14307,9
2176,vergel tlalpan,12,14310,9
2179,villa tlalpan,12,14630,9
2180,villa charra del pedregal,12,14010,9
2182,vistas del pedregal,12,14737,9
2183,villa olimpica miguel hidalgo,12,14020,9
2185,viveros de coatetlan,12,14479,9
2186,zapote 1,12,14038,9
2187,zapote 2,12,14038,9
2188,zona tepepan,12,14647,9
2190,vistas del valle,12,14406,9
2191,viveros de cuernavaca,12,14478,9
2194,zapote 3,12,14038,9
2195,10 de mayo,17,15290,9
2196,20 de noviembre,17,15260,9
2197,20 de noviembre,17,15300,9
2198,20 de noviembre 5o tramo,17,15309,9
2200,3 mosqueteros,17,15330,9
2201,4 arboles,17,15730,9
2203,aaron saenz,17,15870,9
2204,adolfo lopez mateos,17,15690,9
2205,adolfo lopez mateos,17,15670,9
2206,aeronautica militar,17,15970,9
2207,aeropuerto ciudad de mexico,17,15620,9
2208,alvaro obregon,17,15990,9
2209,aquiles serdan,17,15430,9
2211,arenal 2a seccion,17,15680,9
2212,arenal 3a seccion,17,15660,9
2213,arenal 4a seccion,17,15640,9
2214,artes graficas,17,15830,9
2215,aviacion civil,17,15740,9
2216,aviacion civil,17,15750,9
2220,caracol,17,15630,9
2221,ciudad de mexico,17,15620,9
2222,conjunto boturini inverlat,17,15829,9
2223,cuchilla pantitlan,17,15610,9
2224,damian carmona,17,15450,9
2225,delegacion politica venustiano carranza,17,15909,9
2227,emiliano zapata,17,15299,9
2228,emilio carranza,17,15230,9
2230,escuela de tiro,17,15380,9
2233,ignacio zaragoza,17,15000,9
2234,industrial puerto aereo,17,15710,9
2235,janitzio,17,15200,9
2237,jamaica,17,15800,9
2238,jardin balbuena,17,15900,9
2239,lorenzo boturini,17,15820,9
2240,magdalena mixhuca,17,15850,9
2241,magdalena mixhuca,17,15860,9
2242,madero,17,15360,9
2243,miguel hidalgo,17,15470,9
2244,michoacana,17,15240,9
2246,merced balbuena,17,15810,9
2247,moctezuma 1a seccion,17,15500,9
2248,moctezuma 2a seccion,17,15530,9
2249,morelos,17,15940,9
2250,nicolas bravo,17,15220,9
2251,morelos,17,15270,9
2253,penitenciaria,17,15280,9
2254,peñon de los baños,17,15520,9
2255,penitenciaria,17,15350,9
495,actipan,14,03230,9
1930,arboledas del sur,12,14376,9
1936,bosques del pedregal,12,14738,9
1972,el metro,12,14265,9
1995,guadalupe tlalpan,12,14389,9
2015,jose lopez portillo,12,14730,9
2066,nuevo renacimiento de axalco,12,14408,9
2124,san buenaventura,12,14629,9
2131,san juan tepeximilpa,12,14427,9
2162,torres de padierna,12,14209,9
2332,la noria,13,16030,9
2342,lomas de tonalco,13,16410,9
2345,los morales,13,16060,9
2348,los cerrillos,13,16780,9
2369,quirino mendoza,13,16710,9
2384,san isidro,13,16739,9
2385,san jeronimo,13,16420,9
2387,san gregorio atlapulco,13,16600,9
2393,san lucas xochimanca,13,16300,9
2401,san lorenzo la cebada,13,16035,9
2256,popular rastro,17,15220,9
2257,puerto aereo,17,15710,9
2258,primero de mayo,17,15440,9
2259,progresista,17,15370,9
2261,revolucion,17,15460,9
2262,romero rubio,17,15400,9
2263,santa cruz aviacion,17,15540,9
2265,simon bolivar,17,15420,9
2266,simon bolivar,17,15410,9
2267,tribunales de la suprema corte de justicia,17,15968,9
2269,valle gomez,17,15210,9
2270,valentin gomez farias,17,15010,9
2271,venustiano carranza,17,15339,9
2272,venustiano carranza,17,15340,9
2273,zona centro,17,15100,9
2274,zaragoza bahia,17,15720,9
2316,jazmin,13,16428,9
2329,la herradura,13,16880,9
2330,la guadalupana,13,16725,9
2331,la planta,13,16520,9
2333,la joya,13,16780,9
2334,la loma,13,16730,9
2335,la santisima,13,16080,9
2336,las cruces,13,16530,9
2337,las gargolas,13,16059,9
2338,las animas,13,16749,9
2339,las torres,13,16910,9
2340,las mesitas,13,16799,9
2341,las peritas,13,16010,9
2343,los corrales,13,16025,9
2344,loreto y peña pobre,13,16330,9
2347,los capulines,13,16908,9
2349,los tepozanes,13,16908,9
2350,mercado de flores plantas y hortalizas,13,16036,9
2351,misiones de la noria,13,16010,9
2352,nativitas infonavit,13,16099,9
2354,nativitas,13,16450,9
2355,nativitas la joya,13,16540,9
2356,nativitas,13,16797,9
2358,nueva temoxtitla,13,16810,9
2359,paraje tlalatlaco,13,16247,9
2361,paraje tlachiutepec,13,16888,9
2362,ocotlan,13,16248,9
2363,pedregal de san francisco,13,16910,9
2364,paseos del sur,13,16010,9
2365,potrero de san bernardino,13,16030,9
2366,potreros de la noria,13,16019,9
2367,progreso,13,16820,9
2368,programacion y presupuesto,13,16017,9
2370,rancho tejomulco,13,16429,9
2371,residencial aldama,13,16010,9
2372,rinconada del sur,13,16059,9
2373,rinconada san pablo,13,16105,9
2374,reclusorio sur,13,16809,9
2375,rinconada del teoca,13,16888,9
2376,san antonio,13,16000,9
2377,san andres ahuayucan,13,16810,9
2378,rosario tlali,13,16810,9
2379,san felipe de jesus,13,16770,9
2380,san cristobal,13,16080,9
2381,san diego,13,16080,9
2382,san francisco tlalnepantla,13,16900,9
2383,san esteban,13,16080,9
2386,san jose,13,16620,9
2388,san juan centro,13,16000,9
2389,san jose obrero,13,16515,9
2390,san jose zacatepec,13,16220,9
2391,san lorenzo atemoaya,13,16480,9
2392,san juan tlaxialtemalco,13,16629,9
2394,san lorenzo,13,16040,9
2395,san juan de los lagos,13,16869,9
2396,san juan moyotepec,13,16630,9
2397,san luis tlaxialtemalco,13,16610,9
2398,san marcos,13,16050,9
2399,san marcos norte,13,16038,9
2400,san lorenzo atemoaya,13,16400,9
2402,san marcos,13,16039,9
2324,la asuncion,13,16040,9
2325,la guadalupita,13,16629,9
2326,la guadalupana,13,16629,9
2327,la guadalupita,13,16740,9
2328,la guadalupita centro,13,16070,9
276,polvora,10,01100,9
1578,sector popular,12,09060,9
1883,san andres mixquic,11,13600,9
2226,el parque,17,15960,9
1862,las puertas,11,13440,9
1874,nueva tenochtitlan,11,13440,9
1890,san juan,11,13030,9
1903,santiago,11,13120,9
1913,tezontitla,11,13450,9
1919,villas trabajadores del gobierno del distrito federal,11,13278,9
93,el piru,10,01520,9
1937,camara nacional de la industria de la construccion,12,14017,9
1961,dr ignacio chavez infonavit,12,14339,9
1978,estacion ajusco,12,14529,9
1985,fuentes del pedregal,12,14140,9
1999,h colegio militar niños heroes de chapultepec,12,14651,9
2020,la nopalera,12,14645,9
2030,la primavera,12,14270,9
2039,lomas altas de padierna sur,12,14740,9
2057,miguel hidalgo 3a seccion,12,14250,9
2072,paseos de mendoza,12,14070,9
2080,pedregal de san nicolas 5a seccion,12,14100,9
2096,prado coapa 3a seccion,12,14357,9
2106,retornos del pedregal,12,14148,9
2120,romulo sanchez mireles,12,14070,9
2140,secretaria del trabajo y prevision social,12,14149,9
2158,torres tlalpan fovissste,12,14098,9
2177,villa benalmadena,12,14328,9
2189,zona arqueologica nopalera,12,14645,9
2202,7 de julio,17,15390,9
2210,arenal 1a seccion,17,15600,9
2218,candelaria de los patos fovissste,17,15120,9
2236,juan polainas,17,15380,9
2245,michoacana,17,15250,9
2252,pensador mexicano,17,15510,9
1,19 de mayo,10,01388,9
127,jardines del pedregal,10,01900,9
6,acueducto,10,01120,9
7,acueducto,10,01120,9
2,2 rios,10,01549,9
3,8 de agosto,10,01180,9
4,abeto,10,01440,9
5,abraham gonzalez,10,01170,9
229,mixcoac,10,01460,9
1255,biatlon,12,09577,9
1365,granjas san antonio,12,09070,9
14,altavista,10,01060,9
20,arturo martinez,10,01200,9
21,arvide,10,01280,9
22,atlamaya,10,01760,9
27,bejero,10,01340,9
30,batan barrio viejo,10,01080,9
34,belen de las flores,10,01110,9
42,bonanza,10,01220,9
8,acuilotla,10,01539,9
9,agricola,10,01050,9
10,aguila real,10,01769,9
11,alcantarilla,10,01729,9
12,alfalfar,10,01470,9
13,alfonso xii,10,01460,9
15,alvaro obregon desarrollo urbano,10,01278,9
16,antonio carrillo flores,10,01379,9
17,arcadas,10,01440,9
18,arcos del centenario,10,01618,9
19,arturo gamiz,10,01506,9
23,ave real,10,01560,9
24,axomiatla,10,01820,9
25,axotla,10,01030,9
26,balcones de ceguayo,10,01540,9
28,batallon de san patricio,10,01450,9
29,belen,10,01209,9
31,barrio norte,10,01410,9
32,belen de las flores reacomodo,10,01110,9
33,bellavista,10,01140,9
35,bosques de tarango,10,01580,9
36,bosques 2a seccion,10,01150,9
37,bosques,10,01160,9
38,bosques del sur,10,01537,9
39,boscoso,10,01220,9
40,bosques seccion torres,10,01150,9
41,bosques del sol,10,01529,9
43,cañada del olivar,10,01450,9
45,carlos a madrazo,10,01320,9
244,omega,10,01787,9
432,plenitud,2,02780,9
1499,pri,12,09368,9
50,campestre,10,01040,9
59,colinas de tarango,10,01610,9
60,colinas del sur,10,01430,9
61,colinas de tarango,10,01610,9
64,cove,10,01120,9
73,cristo rey,10,01150,9
76,chimalistac,10,01070,9
81,el capulin,10,01110,9
85,el capulin,10,01110,9
44,",camino real de tetelpan",10,01799,9
46,carlos a madrazo reacomodo,10,01320,9
47,campo de tiro los gamitos,10,01230,9
48,campo deportivo revolucion,10,01125,9
49,calzada de jalalpa,10,01260,9
51,carola,10,01180,9
52,cedros santa lucia,10,01510,9
53,ceguaya,10,01540,9
54,canutillo 3a seccion,10,01560,9
55,canutillo la presa,10,01560,9
56,canutillo,10,01560,9
57,cerrada san jose,10,01779,9
58,cerrada del potrero,10,01709,9
62,cove reacomodo,10,01120,9
63,corpus christi,10,01530,9
65,cruz de palo,10,01300,9
66,cooperativa ceguayo,10,01548,9
67,corpus christi reacomodo,10,01539,9
68,cooperativa gaona armenta,10,01500,9
69,corpus christi,10,01539,9
70,corpus christi 2o reacomodo,10,01539,9
71,cuernito becerra reacomodo,10,01289,9
72,cruz de palo 1er reacomodo,10,01296,9
74,cuevitas,10,01220,9
75,cruz de palo 2o reacomodo,10,01378,9
77,desarrollo santa fe,10,01376,9
78,desarrollo la loma,10,01376,9
79,delegacion politica alvaro obregon,10,01159,9
80,el capulin reacomodo,10,01115,9
82,el batan,10,01508,9
83,el arbol,10,01250,9
84,el cuervo,10,01538,9
86,el encino,10,01708,9
87,el cuernito,10,01220,9
88,el limbo,10,01850,9
89,el mirador,10,01708,9
90,el paraiso,10,01130,9
91,el olivarito,10,01788,9
92,el pirul,10,01230,9
94,el pirul,10,01230,9
95,el pocito,10,01280,9
96,el piru,10,01276,9
97,el rincon,10,01590,9
98,el rodeo,10,01285,9
1135,santa rosa,5,07620,9
105,flor de maria,10,01760,9
108,garcimarrero,10,01510,9
109,francisco villa,10,01280,9
112,guadalupe inn,10,01020,9
113,hidalgo,10,01120,9
118,hogar y redencion,10,01450,9
120,hogar y redencion,10,01450,9
123,isidro fabela,10,01160,9
125,jalalpa,10,01296,9
128,jalalpa,10,01297,9
130,jose maria pino suarez,10,01140,9
131,jose maria pino suarez,10,01140,9
132,la cañada,10,01268,9
99,el tejocote,10,01270,9
100,ermita,10,01070,9
101,ermita tizapan,10,01089,9
102,emancipacion del pueblo,10,01540,9
103,estado de hidalgo,10,01520,9
104,estado de hidalgo,10,01520,9
106,ex hacienda de tarango,10,01618,9
107,florida,10,01030,9
110,galeana,10,01407,9
111,gral antonio rosales,10,01230,9
114,heron proal,10,01640,9
115,guadalupe chimalistac,10,01050,9
116,huertas san juanico,10,01279,9
117,infonavit,10,01029,9
119,hueytlate,10,01566,9
121,huitlalli,10,01567,9
122,huertas de san juanico,10,01279,9
124,jalalpa 2a,10,01296,9
126,jalalpatepito,10,01296,9
129,jalalpa el grande reacomodo,10,01377,9
133,la araña,10,01510,9
134,la cascada,10,01490,9
135,jurista,10,01630,9
407,las trancas,2,02450,9
759,granjas navidad,4,05219,9
881,imss,15,06698,9
1204,mercados 2,6,08620,9
2023,la magueyera,12,14654,9
146,la cañada,10,01269,9
156,la otra banda,10,01090,9
136,la bolsa,10,01849,9
137,la cebada,10,01260,9
138,la cebada,10,01259,9
139,la angostura,10,01770,9
140,la cañada 2a seccion,10,01269,9
141,la cebadita,10,01230,9
142,la estrella,10,01220,9
143,la conchita,10,01109,9
144,la mexicana,10,01260,9
145,la cañada 1a seccion,10,01269,9
147,la joya,10,01280,9
148,la herradura,10,01760,9
149,la herradura,10,01760,9
150,la huerta,10,01239,9
151,la joyita,10,01700,9
152,la esperanza o tlapechico 4a seccion,10,01235,9
153,la peñita,10,01740,9
154,la milagrosa,10,01650,9
155,la presa seccion hornos,10,01270,9
157,la presa,10,01270,9
158,la martinica,10,01619,9
159,la palmita,10,01260,9
160,la mexicana,10,01260,9
161,la popular,10,01550,9
162,las aguilas,10,01759,9
163,las golondrinas 2a seccion,10,01270,9
164,ladera grande,10,01250,9
165,las aguilas,10,01048,9
166,las golondrinas reacomodo,10,01270,9
167,las aguilas 3er parque,10,01750,9
168,las aguilas 2o parque,10,01750,9
169,las aguilas,10,01710,9
170,ladera chica,10,01508,9
171,las aguilas 1er parque,10,01750,9
532,napoles,14,03840,9
653,mariana,3,04338,9
864,condesa,15,06140,9
1798,tlacpac,9,12400,9
182,liberales de 1857,10,01110,9
186,lomas de chamontoya,10,01857,9
187,lomas de nuevo mexico,10,01250,9
172,las golondrinas 1a seccion,10,01270,9
173,las cuevitas reacomodo,10,01220,9
174,las americas,10,01120,9
175,las americas,10,01120,9
176,las butacas,10,01280,9
177,las golondrinas,10,01270,9
178,las coronelas,10,01286,9
179,las palmas,10,01110,9
180,lomas de becerra granada,10,01279,9
181,lomas de santo domingo,10,01100,9
183,lomas de los cedros,10,01870,9
184,lomas de san angel inn,10,01790,9
185,lomas de los angeles de tetelpan,10,01790,9
188,lomas de la hera,10,01860,9
1938,camisetas,12,14410,9
202,lomas de guadalupe,10,01720,9
208,lomas de capula,10,01270,9
216,llano redondo,10,01540,9
201,lomas de puerta grande reacomodo,10,01630,9
203,lomas de tarango reacomodo,10,01589,9
204,los alpes,10,01010,9
205,lomas del limbo,10,01850,9
206,los cedros,10,01870,9
207,lomas de santa fe,10,01219,9
209,los alpes,10,01710,9
210,los gamitos,10,01230,9
211,los volcanes,10,01339,9
212,mail boxes paulette kneeland de hernandez,10,01908,9
213,manzana 20,10,01274,9
214,mail boxes miguel payro dueñas,10,01905,9
215,mail boxes mbe post sa de cv,10,01005,9
217,margarita maza de juarez,10,01250,9
507,credito constructor,14,03940,9
956,benito juarez,5,07259,9
1302,culhuacan,12,09800,9
250,palmas axotitla,10,01650,9
262,presidentes,10,01290,9
247,olivar del conde 1a seccion reacomodo,10,01400,9
248,olivar del conde 2a seccion,10,01408,9
249,placio garden,10,01950,9
251,piloto adolfo lopez mateos reacomodo,10,01298,9
252,peña blanca santa fe,10,01376,9
253,perimetro canutillo,10,01509,9
254,piloto adolfo lopez mateos,10,01298,9
255,paraje del caballito,10,01856,9
256,piloto adolfo lopez mateos,10,01290,9
257,polvora prolongacion,10,01130,9
258,peotilcos,10,01739,9
259,pedregal,10,01990,9
260,polvora 1a seccion,10,01100,9
261,pirul santa lucia,10,01520,9
282,puritac,10,01559,9
884,issste,15,06039,9
953,atzacoalco,5,07040,9
1649,la cruz,8,10800,9
190,lomas de becerra,10,01280,9
192,lomas de las aguilas,10,01730,9
194,lomas de tarango,10,01620,9
197,lomas de axomiatla,10,01820,9
198,lomas de puerta grande,10,01630,9
2419,santa ines,13,16810,9
189,loma bonita,10,01760,9
191,liberacion proletaria,10,01260,9
193,lomas de plateros,10,01480,9
195,lomas de santo domingo,10,01100,9
196,loreto,10,01090,9
199,lomas de santo domingo,10,01100,9
200,lomas de becerra granada reacomodo,10,01279,9
263,profesor arturo lopez,10,01610,9
264,ponciano arriaga,10,01645,9
734,bosques de las lomas,4,05120,9
1694,2 lagos,16,11460,9
2016,la cima,12,14900,9
219,merced gomez,10,01600,9
232,molino de rosas,10,01470,9
218,mail boxes fast post sa de cv,10,01035,9
220,martires de tacubaya,10,01220,9
221,manzana 20a,10,01274,9
222,materiales de guerra,10,01120,9
223,molino de santo domingo,10,01130,9
224,manzana 17,10,01274,9
225,maria g de garcia ruiz,10,01160,9
226,molino de santo domingo,10,01130,9
227,milpa los cerros,10,01505,9
228,misiones de tarango,10,01587,9
230,minas de cristo,10,01419,9
231,miguel hidalgo,10,01789,9
1455,minerva,12,09885,9
245,palmas,10,01410,9
